index,name,stage,kind,scale_group,array_width,array_height,magnification,display_low,display_high,value_min,value_max,value_mean,finite_elements,elements,engine_expression,image
1,01_read_frame_a,read,intensity,,512,512,1,2817.0,9550.0,2276.0,12339.0,6082.43115234375,262144,262144,"recording page 56, channel BF",fig/steps/01_read_frame_a.png
2,02_read_frame_b,read,intensity,,512,512,1,2800.715,9537.0,2298.0,12304.0,6066.71044921875,262144,262144,"recording page 72, channel BF",fig/steps/02_read_frame_b.png
3,03_prepared_a,prepare,intensity,,512,512,1,2818.715,9378.0,2325.0,11966.0,6073.95751953125,262144,262144,"apply_preprocessing(raw, MEDIAN_3X3)",fig/steps/03_prepared_a.png
4,04_prepared_change_a,prepare,signed,,512,512,1,-441.0,441.0,-2179.0,1184.0,-8.474506378173828,262144,262144,prepared - raw,fig/steps/04_prepared_change_a.png
5,05_log_a,logarithm,log,,512,512,1,11.461333503723145,13.195218086242676,11.183635711669922,13.546773910522461,12.544953346252441,262144,262144,"LogPlane.from_intensity(prepared, epsilon=1).value",fig/steps/05_log_a.png
6,06_log_b,logarithm,log,,512,512,1,11.452240943908691,13.191059112548828,11.187352180480957,13.507547378540039,12.540750503540039,262144,262144,"LogPlane.from_intensity(prepared, epsilon=1).value",fig/steps/06_log_b.png
7,07_valid_a,logarithm,mask,,512,512,1,0.0,1.0,1.0,1.0,1.0,262144,262144,LogPlane.valid,fig/steps/07_valid_a.png
8,08_gx_a,gradients,signed,,512,512,1,-0.09082671165466306,0.09082671165466306,-0.31897401809692383,0.3674888610839844,-0.001982687972486019,262144,262144,LogPlane.gx,fig/steps/08_gx_a.png
9,09_gy_a,gradients,signed,,512,512,1,-0.08477087020874016,0.08477087020874016,-0.29784440994262695,0.29819631576538086,3.549701068550348e-05,262144,262144,LogPlane.gy,fig/steps/09_gy_a.png
10,10_gradient_magnitude_a,gradients,intensity,,512,512,1,0.000850677490234375,0.22360752582550056,0.0,0.5951480865478516,0.04298974573612213,262144,262144,LogPlane.gradient_magnitude,fig/steps/10_gradient_magnitude_a.png
11,11_gx_b,gradients,signed,,512,512,1,-0.0912148475646972,0.0912148475646972,-0.34679222106933594,0.29770708084106445,-0.0019920498598366976,262144,262144,LogPlane.gx of the second frame,fig/steps/11_gx_b.png
12,12_gy_b,gradients,signed,,512,512,1,-0.08441937446594232,0.08441937446594232,-0.326601505279541,0.3328857421875,3.2234733225777745e-05,262144,262144,LogPlane.gy of the second frame,fig/steps/12_gy_b.png
