original_path,copied_path,file_name,modification_time,byte_size,sha256
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Auto-Organotypic\test set\20260710_Tmem_Cry_BSL_leaktest_1713_Multichannel Time Lapse_20260721_1424.ome.tif,data/src/recording_provenance.json,20260710_Tmem_Cry_BSL_leaktest_1713_Multichannel Time Lapse_20260721_1424.ome.tif,2026-08-11T09:36:11+00:00,569737134,c4ab6179cf578e714e37b325cacaa02826d5c91cdc588024fbb329f7e42e82df
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\src\ripr\core.py,data/src/ripr_core.py,ripr/core.py,2026-08-26T11:00:13+00:00,108936,dcf06060386f25b94f4f9bb01b2d4ccfe86bb45ad047ba1c9db1c63a37aad9c2
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\src\ripr\types.py,data/src/ripr_types.py,ripr/types.py,2026-08-26T10:32:14+00:00,10157,4f4a6c839e243cb0d350cce428357c8c111fd51493b938727c6cfce872b02020
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\src\ripr\preprocessing.py,data/src/ripr_preprocessing.py,ripr/preprocessing.py,2026-08-22T09:41:26+00:00,4120,f784a282b83b5327af6dabbf2890e8dffa22a0f397aa0094ad15aae9aa961ffc
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\src\ripr\registration.py,data/src/ripr_registration.py,ripr/registration.py,2026-08-26T13:15:06+00:00,18533,bf907afe1d5a2226bfa652b463be34c1ee40e097b10c0e364bc446ce1d6f5727
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\src\ripr\parameters.py,data/src/ripr_parameters.py,ripr/parameters.py,2026-08-26T22:14:17+00:00,15918,2b40451da456b19bfafa90d3a24e2786314b8ded4967fb450d8e7cdbf93d1eb5
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\src\ripr\diagnostics.py,data/src/ripr_diagnostics.py,ripr/diagnostics.py,2026-08-22T09:59:32+00:00,2855,d8b44b3bd7016ea1dc797a63f240c84c715a131624a75ffc4f1f2d0b32dae44e
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\src\ripr\__init__.py,data/src/ripr___init__.py,ripr/__init__.py,2026-08-26T10:35:27+00:00,2161,1c1680e2cef4cbde1315daef566e2d532da88a60c57a441255547abc04df9b05
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\docs\figures\pipeline-steps-real\data\src\run_registration_1424.py,data/src/run_registration_1424.py,run_registration_1424.py,2026-08-28T10:53:30+00:00,6437,7956953f0bc9100b00a01745c8a79b8833a162afbcf5bb07ad0bab8488c0161b
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\docs\figures\pipeline-steps-real\data\src\capture_steps.py,data/src/capture_steps.py,capture_steps.py,2026-08-28T10:53:30+00:00,27776,39915c16fff8d25f48398a831c1a6b12933f142a872e1ae6a3316a50cda29c72
