original_path,copied_path,file_name,modification_time,byte_size,sha256
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\src\ripr\core.py,data/src/ripr_core.py,ripr_core.py,2026-08-26T11:00:13+00:00,108936,dcf06060386f25b94f4f9bb01b2d4ccfe86bb45ad047ba1c9db1c63a37aad9c2
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\src\ripr\registration.py,data/src/ripr_registration.py,ripr_registration.py,2026-08-26T13:15:06+00:00,18533,bf907afe1d5a2226bfa652b463be34c1ee40e097b10c0e364bc446ce1d6f5727
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\src\ripr\parameters.py,data/src/ripr_parameters.py,ripr_parameters.py,2026-08-26T22:14:17+00:00,15918,2b40451da456b19bfafa90d3a24e2786314b8ded4967fb450d8e7cdbf93d1eb5
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\src\ripr\preprocessing.py,data/src/ripr_preprocessing.py,ripr_preprocessing.py,2026-08-22T09:41:26+00:00,4120,f784a282b83b5327af6dabbf2890e8dffa22a0f397aa0094ad15aae9aa961ffc
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\src\ripr\types.py,data/src/ripr_types.py,ripr_types.py,2026-08-26T10:32:14+00:00,10157,4f4a6c839e243cb0d350cce428357c8c111fd51493b938727c6cfce872b02020
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Log-Ratio Registration\src\ripr\diagnostics.py,data/src/ripr_diagnostics.py,ripr_diagnostics.py,2026-08-22T09:59:32+00:00,2855,d8b44b3bd7016ea1dc797a63f240c84c715a131624a75ffc4f1f2d0b32dae44e
C:\Users\Owner\AppData\Local\Temp\claude\C--Users-Owner\e6bc02b4-c32e-4a83-bb0b-91471f82e48b\scratchpad\lrr\run_registration_1424.py,data/src/run_registration_1424.py,run_registration_1424.py,2026-08-28T01:40:51.661384+00:00,5467,9cf8427b15839e1be7e5c782ee81c69bfd32450de6d796b29babd36fa7201499
C:\Users\Owner\AppData\Local\Temp\claude\C--Users-Owner\e6bc02b4-c32e-4a83-bb0b-91471f82e48b\scratchpad\lrr\prep_intermediates.py,data/src/prep_intermediates.py,prep_intermediates.py,2026-08-28T02:47:33.941067+00:00,20057,9e736a6d5218235c57a0c68a435baa37235b89fa21eba7102f0d0760029d14f2
C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Auto-Organotypic\test set\20260710_Tmem_Cry_BSL_leaktest_1713_Multichannel Time Lapse_20260721_1424.ome.tif,data/src/recording_provenance.json,recording_provenance.json,2026-08-28T02:50:26.487076+00:00,868,3dc67ee37443d5bcd83e41617a66bce80732717181b754e9ef645f1110d9a0a2
C:\Users\Owner\.claude\skills\plot-that\scripts\plot_style.py,data/src/plot_style.py,plot_style.py,2026-08-25T12:54:20.165884+00:00,12470,272c4a8abc83f07f39fd049f7cd0a10ffc8eaaca0b87aec9dd1dd9afda2a7d30
