element,key,value_number,value_text,note
plan,frames,240.0,count,timepoints in the recording
plan,pairs_total,1169.0,count,"every planned comparison, drawn in the adjacency map"
plan,window,17.0,frames,"the filmstrip, marked on the adjacency map"
plan,window_pairs,54.0,count,comparisons drawn as arcs
lag,1,239.0,pairs,one diagonal of the adjacency map
lag,2,238.0,pairs,one diagonal of the adjacency map
lag,4,236.0,pairs,one diagonal of the adjacency map
lag,8,232.0,pairs,one diagonal of the adjacency map
lag,16,224.0,pairs,one diagonal of the adjacency map
edge,0-1,1.0,lag,drawn as an arc
edge,0-2,2.0,lag,drawn as an arc
edge,0-4,4.0,lag,drawn as an arc
edge,0-8,8.0,lag,drawn as an arc
edge,0-16,16.0,lag,drawn as an arc
edge,1-2,1.0,lag,drawn as an arc
edge,1-3,2.0,lag,drawn as an arc
edge,1-5,4.0,lag,drawn as an arc
edge,1-9,8.0,lag,drawn as an arc
edge,2-3,1.0,lag,drawn as an arc
edge,2-4,2.0,lag,drawn as an arc
edge,2-6,4.0,lag,drawn as an arc
edge,2-10,8.0,lag,drawn as an arc
edge,3-4,1.0,lag,drawn as an arc
edge,3-5,2.0,lag,drawn as an arc
edge,3-7,4.0,lag,drawn as an arc
edge,3-11,8.0,lag,drawn as an arc
edge,4-5,1.0,lag,drawn as an arc
edge,4-6,2.0,lag,drawn as an arc
edge,4-8,4.0,lag,drawn as an arc
edge,4-12,8.0,lag,drawn as an arc
edge,5-6,1.0,lag,drawn as an arc
edge,5-7,2.0,lag,drawn as an arc
edge,5-9,4.0,lag,drawn as an arc
edge,5-13,8.0,lag,drawn as an arc
edge,6-7,1.0,lag,drawn as an arc
edge,6-8,2.0,lag,drawn as an arc
edge,6-10,4.0,lag,drawn as an arc
edge,6-14,8.0,lag,drawn as an arc
edge,7-8,1.0,lag,drawn as an arc
edge,7-9,2.0,lag,drawn as an arc
edge,7-11,4.0,lag,drawn as an arc
edge,7-15,8.0,lag,drawn as an arc
edge,8-9,1.0,lag,drawn as an arc
edge,8-10,2.0,lag,drawn as an arc
