element,key,value_number,value_text,note
recording,frames,240.0,count,
recording,usable_pairs,1169.0,count,of 1169 planned
residual,median,0.029111633881684935,pixels,the orange mark on the histogram
residual,p95,0.07824302177406049,pixels,
residual,maximum,0.22318200637102206,pixels,
trajectory,frame_000_dx,0.0,pixels,the reconciled path
trajectory,frame_001_dx,0.8156345141357958,pixels,the reconciled path
trajectory,frame_002_dx,1.0700965459009883,pixels,the reconciled path
trajectory,frame_003_dx,1.3818920719444705,pixels,the reconciled path
trajectory,frame_004_dx,1.3327417642669637,pixels,the reconciled path
trajectory,frame_005_dx,1.4380089302858767,pixels,the reconciled path
trajectory,frame_006_dx,1.5342884842423608,pixels,the reconciled path
trajectory,frame_007_dx,1.566880676988924,pixels,the reconciled path
trajectory,frame_008_dx,1.4873336780290507,pixels,the reconciled path
trajectory,frame_009_dx,1.6719702219684367,pixels,the reconciled path
trajectory,frame_010_dx,1.720696861839412,pixels,the reconciled path
trajectory,frame_011_dx,1.6142556806479493,pixels,the reconciled path
trajectory,frame_012_dx,1.776118125645823,pixels,the reconciled path
trajectory,frame_013_dx,1.7995807076738692,pixels,the reconciled path
trajectory,frame_014_dx,1.6955455290953168,pixels,the reconciled path
trajectory,frame_015_dx,1.7345043490205747,pixels,the reconciled path
trajectory,frame_016_dx,1.7159467233671428,pixels,the reconciled path
trajectory,frame_017_dx,1.8744195940380166,pixels,the reconciled path
trajectory,frame_018_dx,1.6141180498481724,pixels,the reconciled path
trajectory,frame_019_dx,1.8459875498611944,pixels,the reconciled path
trajectory,frame_020_dx,1.8233321485334428,pixels,the reconciled path
trajectory,frame_021_dx,1.6409091877998403,pixels,the reconciled path
trajectory,frame_022_dx,1.9507088148104517,pixels,the reconciled path
trajectory,frame_023_dx,1.9711549965913369,pixels,the reconciled path
trajectory,frame_024_dx,2.0808544422015047,pixels,the reconciled path
trajectory,frame_025_dx,1.905503669060892,pixels,the reconciled path
trajectory,frame_026_dx,1.8925863137730095,pixels,the reconciled path
trajectory,frame_027_dx,2.0636829033368733,pixels,the reconciled path
trajectory,frame_028_dx,1.9187977634707745,pixels,the reconciled path
trajectory,frame_029_dx,1.9754060044417046,pixels,the reconciled path
trajectory,frame_030_dx,1.9987805273968264,pixels,the reconciled path
trajectory,frame_031_dx,2.060767541123794,pixels,the reconciled path
trajectory,frame_032_dx,1.9145069285193963,pixels,the reconciled path
trajectory,frame_033_dx,2.033732728948668,pixels,the reconciled path
trajectory,frame_034_dx,1.8239782101825512,pixels,the reconciled path
trajectory,frame_035_dx,1.9764875428578383,pixels,the reconciled path
trajectory,frame_036_dx,2.0860995640812163,pixels,the reconciled path
trajectory,frame_037_dx,2.1649726256090362,pixels,the reconciled path
trajectory,frame_038_dx,2.166807044757456,pixels,the reconciled path
trajectory,frame_039_dx,2.0705722285959833,pixels,the reconciled path
trajectory,frame_040_dx,2.1651135302325915,pixels,the reconciled path
trajectory,frame_041_dx,2.084495096592834,pixels,the reconciled path
trajectory,frame_042_dx,2.2160589541185307,pixels,the reconciled path
trajectory,frame_043_dx,2.369367650103322,pixels,the reconciled path
trajectory,frame_044_dx,2.2201229188052176,pixels,the reconciled path
trajectory,frame_045_dx,2.3461527973642156,pixels,the reconciled path
trajectory,frame_046_dx,2.242205350766869,pixels,the reconciled path
trajectory,frame_047_dx,2.288222861202701,pixels,the reconciled path
trajectory,frame_048_dx,2.3738646923476034,pixels,the reconciled path
trajectory,frame_049_dx,2.3142339303365627,pixels,the reconciled path
trajectory,frame_050_dx,2.254251287054531,pixels,the reconciled path
trajectory,frame_051_dx,2.5108921716327397,pixels,the reconciled path
trajectory,frame_052_dx,2.4963171401051674,pixels,the reconciled path
trajectory,frame_053_dx,2.4174669847041965,pixels,the reconciled path
trajectory,frame_054_dx,2.4455288207769152,pixels,the reconciled path
trajectory,frame_055_dx,2.4847238542965076,pixels,the reconciled path
trajectory,frame_056_dx,2.5312966702938113,pixels,the reconciled path
trajectory,frame_057_dx,2.433028538306432,pixels,the reconciled path
trajectory,frame_058_dx,2.578141180046681,pixels,the reconciled path
trajectory,frame_059_dx,2.476247932160959,pixels,the reconciled path
trajectory,frame_060_dx,2.410040290175129,pixels,the reconciled path
trajectory,frame_061_dx,2.452133441231051,pixels,the reconciled path
trajectory,frame_062_dx,2.3635265051301264,pixels,the reconciled path
trajectory,frame_063_dx,2.59686139375993,pixels,the reconciled path
trajectory,frame_064_dx,2.4946527107858008,pixels,the reconciled path
trajectory,frame_065_dx,2.5573398550693365,pixels,the reconciled path
trajectory,frame_066_dx,2.6302741778522862,pixels,the reconciled path
trajectory,frame_067_dx,2.7339759333002065,pixels,the reconciled path
trajectory,frame_068_dx,2.5528676561711783,pixels,the reconciled path
trajectory,frame_069_dx,2.7770724067813903,pixels,the reconciled path
trajectory,frame_070_dx,2.8123757784581866,pixels,the reconciled path
trajectory,frame_071_dx,2.645167831982451,pixels,the reconciled path
trajectory,frame_072_dx,2.593774858395249,pixels,the reconciled path
trajectory,frame_073_dx,2.7674569208324646,pixels,the reconciled path
trajectory,frame_074_dx,2.605893561683998,pixels,the reconciled path
trajectory,frame_075_dx,2.574773037851575,pixels,the reconciled path
trajectory,frame_076_dx,2.665108802911401,pixels,the reconciled path
trajectory,frame_077_dx,2.540061192809828,pixels,the reconciled path
trajectory,frame_078_dx,2.778750224002201,pixels,the reconciled path
trajectory,frame_079_dx,2.7722368156221764,pixels,the reconciled path
trajectory,frame_080_dx,2.55690537945174,pixels,the reconciled path
trajectory,frame_081_dx,2.7188648653469647,pixels,the reconciled path
trajectory,frame_082_dx,2.5313051174574204,pixels,the reconciled path
trajectory,frame_083_dx,2.410916322660515,pixels,the reconciled path
trajectory,frame_084_dx,2.6044410228396337,pixels,the reconciled path
trajectory,frame_085_dx,2.6151866435185287,pixels,the reconciled path
trajectory,frame_086_dx,2.7023380664502508,pixels,the reconciled path
trajectory,frame_087_dx,2.722891553020842,pixels,the reconciled path
trajectory,frame_088_dx,2.672482604015804,pixels,the reconciled path
trajectory,frame_089_dx,2.598400373466373,pixels,the reconciled path
trajectory,frame_090_dx,2.893233189930112,pixels,the reconciled path
trajectory,frame_091_dx,2.6870078529055355,pixels,the reconciled path
trajectory,frame_092_dx,2.822571630765117,pixels,the reconciled path
trajectory,frame_093_dx,2.850812687324849,pixels,the reconciled path
trajectory,frame_094_dx,2.813681738696646,pixels,the reconciled path
trajectory,frame_095_dx,2.7816284642493514,pixels,the reconciled path
trajectory,frame_096_dx,2.760589754665248,pixels,the reconciled path
trajectory,frame_097_dx,2.7434060795946076,pixels,the reconciled path
trajectory,frame_098_dx,2.6630057726345995,pixels,the reconciled path
trajectory,frame_099_dx,2.885265080806449,pixels,the reconciled path
trajectory,frame_100_dx,2.760788929011942,pixels,the reconciled path
trajectory,frame_101_dx,2.841799595643124,pixels,the reconciled path
trajectory,frame_102_dx,2.8236507704814895,pixels,the reconciled path
trajectory,frame_103_dx,2.9937390016884313,pixels,the reconciled path
trajectory,frame_104_dx,3.088008843338982,pixels,the reconciled path
trajectory,frame_105_dx,3.097435002795678,pixels,the reconciled path
trajectory,frame_106_dx,3.055232897175557,pixels,the reconciled path
trajectory,frame_107_dx,3.06366523544716,pixels,the reconciled path
trajectory,frame_108_dx,2.9549727032348443,pixels,the reconciled path
trajectory,frame_109_dx,3.154987314302879,pixels,the reconciled path
trajectory,frame_110_dx,3.0382941385839795,pixels,the reconciled path
trajectory,frame_111_dx,3.112136894422805,pixels,the reconciled path
trajectory,frame_112_dx,2.980246239216645,pixels,the reconciled path
trajectory,frame_113_dx,3.0316930723289093,pixels,the reconciled path
trajectory,frame_114_dx,2.889185577256539,pixels,the reconciled path
trajectory,frame_115_dx,3.072415483620284,pixels,the reconciled path
trajectory,frame_116_dx,2.927369797703832,pixels,the reconciled path
trajectory,frame_117_dx,3.221739846923726,pixels,the reconciled path
trajectory,frame_118_dx,2.9664783995102826,pixels,the reconciled path
trajectory,frame_119_dx,3.157174575499708,pixels,the reconciled path
trajectory,frame_120_dx,3.030099642353464,pixels,the reconciled path
trajectory,frame_121_dx,3.1777688104620525,pixels,the reconciled path
trajectory,frame_122_dx,3.1469143409942704,pixels,the reconciled path
trajectory,frame_123_dx,3.1760087687892447,pixels,the reconciled path
trajectory,frame_124_dx,3.2408865629993513,pixels,the reconciled path
trajectory,frame_125_dx,2.945454905908507,pixels,the reconciled path
trajectory,frame_126_dx,3.0900775163175567,pixels,the reconciled path
trajectory,frame_127_dx,3.29305895281237,pixels,the reconciled path
trajectory,frame_128_dx,3.257118357734049,pixels,the reconciled path
trajectory,frame_129_dx,2.9949899441960683,pixels,the reconciled path
trajectory,frame_130_dx,3.068670043249967,pixels,the reconciled path
trajectory,frame_131_dx,3.007014099395614,pixels,the reconciled path
trajectory,frame_132_dx,3.192272164728316,pixels,the reconciled path
trajectory,frame_133_dx,3.055894841570338,pixels,the reconciled path
trajectory,frame_134_dx,3.1296018392716536,pixels,the reconciled path
trajectory,frame_135_dx,3.396027098836899,pixels,the reconciled path
trajectory,frame_136_dx,3.162787589573634,pixels,the reconciled path
trajectory,frame_137_dx,3.2118240086410426,pixels,the reconciled path
trajectory,frame_138_dx,3.230063950192416,pixels,the reconciled path
trajectory,frame_139_dx,3.1935028709961646,pixels,the reconciled path
trajectory,frame_140_dx,3.249282349307646,pixels,the reconciled path
trajectory,frame_141_dx,3.2217903960529406,pixels,the reconciled path
trajectory,frame_142_dx,3.2769805905583804,pixels,the reconciled path
trajectory,frame_143_dx,3.4409981680345605,pixels,the reconciled path
trajectory,frame_144_dx,3.4025800461255864,pixels,the reconciled path
trajectory,frame_145_dx,3.3550941102979346,pixels,the reconciled path
trajectory,frame_146_dx,3.493467605445347,pixels,the reconciled path
trajectory,frame_147_dx,3.4806976538012857,pixels,the reconciled path
trajectory,frame_148_dx,3.425709314792047,pixels,the reconciled path
trajectory,frame_149_dx,3.6480632471145857,pixels,the reconciled path
trajectory,frame_150_dx,3.555449138310164,pixels,the reconciled path
trajectory,frame_151_dx,3.6312480344583986,pixels,the reconciled path
trajectory,frame_152_dx,3.4189479541249166,pixels,the reconciled path
trajectory,frame_153_dx,3.473610269182359,pixels,the reconciled path
trajectory,frame_154_dx,3.378821293441626,pixels,the reconciled path
trajectory,frame_155_dx,3.667766850522744,pixels,the reconciled path
trajectory,frame_156_dx,3.5725277705592338,pixels,the reconciled path
trajectory,frame_157_dx,3.495341809654094,pixels,the reconciled path
trajectory,frame_158_dx,3.4293695146882985,pixels,the reconciled path
trajectory,frame_159_dx,3.54863126846079,pixels,the reconciled path
trajectory,frame_160_dx,3.6822191655354213,pixels,the reconciled path
trajectory,frame_161_dx,3.6544260394472965,pixels,the reconciled path
trajectory,frame_162_dx,3.4275438487528973,pixels,the reconciled path
trajectory,frame_163_dx,3.573813342539116,pixels,the reconciled path
trajectory,frame_164_dx,3.4612712421658736,pixels,the reconciled path
trajectory,frame_165_dx,3.587811663793906,pixels,the reconciled path
trajectory,frame_166_dx,3.561678009347982,pixels,the reconciled path
trajectory,frame_167_dx,3.6806713618950626,pixels,the reconciled path
trajectory,frame_168_dx,3.79718939618042,pixels,the reconciled path
trajectory,frame_169_dx,3.609056369613442,pixels,the reconciled path
trajectory,frame_170_dx,3.770276578373974,pixels,the reconciled path
trajectory,frame_171_dx,3.6208604655549803,pixels,the reconciled path
trajectory,frame_172_dx,3.6846010347108624,pixels,the reconciled path
trajectory,frame_173_dx,3.76289064932753,pixels,the reconciled path
trajectory,frame_174_dx,3.4944262498602043,pixels,the reconciled path
trajectory,frame_175_dx,3.6357644985401554,pixels,the reconciled path
trajectory,frame_176_dx,3.536355325663595,pixels,the reconciled path
trajectory,frame_177_dx,3.510042442188106,pixels,the reconciled path
trajectory,frame_178_dx,3.524425914541332,pixels,the reconciled path
trajectory,frame_179_dx,3.6390706026699644,pixels,the reconciled path
trajectory,frame_180_dx,3.511190186119523,pixels,the reconciled path
trajectory,frame_181_dx,3.6100511986180135,pixels,the reconciled path
trajectory,frame_182_dx,3.593556447314633,pixels,the reconciled path
trajectory,frame_183_dx,3.6694260226580018,pixels,the reconciled path
trajectory,frame_184_dx,3.35118397559336,pixels,the reconciled path
trajectory,frame_185_dx,3.565250205303848,pixels,the reconciled path
trajectory,frame_186_dx,3.6754151378121236,pixels,the reconciled path
trajectory,frame_187_dx,3.581856041532579,pixels,the reconciled path
trajectory,frame_188_dx,3.6721957440593465,pixels,the reconciled path
trajectory,frame_189_dx,3.543090423698756,pixels,the reconciled path
trajectory,frame_190_dx,3.4024378582111567,pixels,the reconciled path
trajectory,frame_191_dx,3.6309576356992865,pixels,the reconciled path
trajectory,frame_192_dx,3.5848240661049244,pixels,the reconciled path
trajectory,frame_193_dx,3.6733279605909024,pixels,the reconciled path
trajectory,frame_194_dx,3.647243456842093,pixels,the reconciled path
trajectory,frame_195_dx,3.6232219450524745,pixels,the reconciled path
trajectory,frame_196_dx,3.6276443334054584,pixels,the reconciled path
trajectory,frame_197_dx,3.7753341257516113,pixels,the reconciled path
trajectory,frame_198_dx,3.823740306419007,pixels,the reconciled path
trajectory,frame_199_dx,3.8081726695173117,pixels,the reconciled path
trajectory,frame_200_dx,3.7193022701867147,pixels,the reconciled path
trajectory,frame_201_dx,3.5945644491813917,pixels,the reconciled path
trajectory,frame_202_dx,3.9435396190207377,pixels,the reconciled path
trajectory,frame_203_dx,3.8278138599537046,pixels,the reconciled path
trajectory,frame_204_dx,3.8359007283005027,pixels,the reconciled path
trajectory,frame_205_dx,3.9111762010316653,pixels,the reconciled path
trajectory,frame_206_dx,3.742732046583946,pixels,the reconciled path
trajectory,frame_207_dx,3.601952268957505,pixels,the reconciled path
trajectory,frame_208_dx,3.696585188196624,pixels,the reconciled path
trajectory,frame_209_dx,3.825370718198426,pixels,the reconciled path
trajectory,frame_210_dx,3.6429269598672462,pixels,the reconciled path
trajectory,frame_211_dx,3.818894741525706,pixels,the reconciled path
trajectory,frame_212_dx,3.8764680207058637,pixels,the reconciled path
trajectory,frame_213_dx,3.775079808663675,pixels,the reconciled path
trajectory,frame_214_dx,3.7887322499708724,pixels,the reconciled path
trajectory,frame_215_dx,3.9240613818556946,pixels,the reconciled path
trajectory,frame_216_dx,3.7652111425758643,pixels,the reconciled path
trajectory,frame_217_dx,3.8973299839471567,pixels,the reconciled path
trajectory,frame_218_dx,3.9359956657371824,pixels,the reconciled path
trajectory,frame_219_dx,3.727365103457209,pixels,the reconciled path
trajectory,frame_220_dx,3.762190114380452,pixels,the reconciled path
trajectory,frame_221_dx,3.775394471174311,pixels,the reconciled path
trajectory,frame_222_dx,3.9404959831885744,pixels,the reconciled path
trajectory,frame_223_dx,3.9716697763748647,pixels,the reconciled path
trajectory,frame_224_dx,3.7892741728960853,pixels,the reconciled path
trajectory,frame_225_dx,3.691808833059628,pixels,the reconciled path
trajectory,frame_226_dx,3.8762624741653005,pixels,the reconciled path
trajectory,frame_227_dx,3.7259366019628595,pixels,the reconciled path
trajectory,frame_228_dx,3.777156745819975,pixels,the reconciled path
trajectory,frame_229_dx,3.7504277288733165,pixels,the reconciled path
trajectory,frame_230_dx,3.605235249496709,pixels,the reconciled path
trajectory,frame_231_dx,3.7559898929800997,pixels,the reconciled path
trajectory,frame_232_dx,3.8203947667926124,pixels,the reconciled path
trajectory,frame_233_dx,3.8923236080407704,pixels,the reconciled path
trajectory,frame_234_dx,3.975201371868765,pixels,the reconciled path
trajectory,frame_235_dx,4.028807164462239,pixels,the reconciled path
trajectory,frame_236_dx,3.990316271861335,pixels,the reconciled path
trajectory,frame_237_dx,3.7942544334290584,pixels,the reconciled path
trajectory,frame_238_dx,3.6834351541096417,pixels,the reconciled path
trajectory,frame_239_dx,3.7745891306197197,pixels,the reconciled path
trajectory,frame_000_dy,0.0,pixels,the reconciled path
trajectory,frame_001_dy,-0.47031789569980015,pixels,the reconciled path
trajectory,frame_002_dy,-0.3658500916200843,pixels,the reconciled path
trajectory,frame_003_dy,-0.6082030252349838,pixels,the reconciled path
trajectory,frame_004_dy,-0.3615800560146749,pixels,the reconciled path
trajectory,frame_005_dy,-0.5795469377642785,pixels,the reconciled path
trajectory,frame_006_dy,-0.318135850420162,pixels,the reconciled path
trajectory,frame_007_dy,-0.20067178454693713,pixels,the reconciled path
trajectory,frame_008_dy,-0.2414469755800261,pixels,the reconciled path
trajectory,frame_009_dy,-0.15131294321255878,pixels,the reconciled path
trajectory,frame_010_dy,-0.22329463482088735,pixels,the reconciled path
trajectory,frame_011_dy,-0.1801855288114667,pixels,the reconciled path
trajectory,frame_012_dy,-0.06365810783409079,pixels,the reconciled path
trajectory,frame_013_dy,-0.3684911786846554,pixels,the reconciled path
trajectory,frame_014_dy,0.2777305500852524,pixels,the reconciled path
trajectory,frame_015_dy,-0.004078991098280229,pixels,the reconciled path
trajectory,frame_016_dy,-0.05858786852637122,pixels,the reconciled path
trajectory,frame_017_dy,0.05870499827867932,pixels,the reconciled path
trajectory,frame_018_dy,0.10789162009199113,pixels,the reconciled path
trajectory,frame_019_dy,0.14651821695728046,pixels,the reconciled path
trajectory,frame_020_dy,0.17312778388420108,pixels,the reconciled path
trajectory,frame_021_dy,0.39834462165507956,pixels,the reconciled path
trajectory,frame_022_dy,0.22197203636058876,pixels,the reconciled path
trajectory,frame_023_dy,0.10546536317518893,pixels,the reconciled path
trajectory,frame_024_dy,0.19501073194331212,pixels,the reconciled path
trajectory,frame_025_dy,0.361304346650393,pixels,the reconciled path
trajectory,frame_026_dy,0.14112076684295122,pixels,the reconciled path
trajectory,frame_027_dy,0.13614461183158605,pixels,the reconciled path
trajectory,frame_028_dy,0.023077075681656248,pixels,the reconciled path
trajectory,frame_029_dy,0.2922301185370114,pixels,the reconciled path
trajectory,frame_030_dy,0.10329877765508029,pixels,the reconciled path
trajectory,frame_031_dy,0.552888259521696,pixels,the reconciled path
trajectory,frame_032_dy,0.34103750243216935,pixels,the reconciled path
trajectory,frame_033_dy,0.20621968540608915,pixels,the reconciled path
trajectory,frame_034_dy,0.04853227620274618,pixels,the reconciled path
trajectory,frame_035_dy,-0.016865609515700014,pixels,the reconciled path
trajectory,frame_036_dy,-0.16642900396009555,pixels,the reconciled path
trajectory,frame_037_dy,-0.40844900947125135,pixels,the reconciled path
trajectory,frame_038_dy,-0.1781006645554775,pixels,the reconciled path
trajectory,frame_039_dy,-0.2253572758740874,pixels,the reconciled path
trajectory,frame_040_dy,-0.5184040597203224,pixels,the reconciled path
trajectory,frame_041_dy,-0.6436947251902598,pixels,the reconciled path
trajectory,frame_042_dy,-0.5752156393624146,pixels,the reconciled path
trajectory,frame_043_dy,-0.5081948917116308,pixels,the reconciled path
trajectory,frame_044_dy,-0.48580875846931865,pixels,the reconciled path
trajectory,frame_045_dy,-0.5636839145989309,pixels,the reconciled path
trajectory,frame_046_dy,-0.6771513326830154,pixels,the reconciled path
trajectory,frame_047_dy,-0.5186180276935008,pixels,the reconciled path
trajectory,frame_048_dy,-0.4817152505419242,pixels,the reconciled path
trajectory,frame_049_dy,-0.5063180381204958,pixels,the reconciled path
trajectory,frame_050_dy,-0.7760550040046372,pixels,the reconciled path
trajectory,frame_051_dy,-0.5650824499595207,pixels,the reconciled path
trajectory,frame_052_dy,-0.5849084669360358,pixels,the reconciled path
trajectory,frame_053_dy,-0.7297793516491909,pixels,the reconciled path
trajectory,frame_054_dy,-0.39547084849517705,pixels,the reconciled path
trajectory,frame_055_dy,-0.4437966327418742,pixels,the reconciled path
trajectory,frame_056_dy,-0.6557230684649685,pixels,the reconciled path
trajectory,frame_057_dy,-0.7410005293338736,pixels,the reconciled path
trajectory,frame_058_dy,-0.7501617472231716,pixels,the reconciled path
trajectory,frame_059_dy,-0.8892661328056897,pixels,the reconciled path
trajectory,frame_060_dy,-0.7717857984954516,pixels,the reconciled path
trajectory,frame_061_dy,-0.7550571341212494,pixels,the reconciled path
trajectory,frame_062_dy,-0.44008715529488474,pixels,the reconciled path
trajectory,frame_063_dy,-0.35315866751123653,pixels,the reconciled path
trajectory,frame_064_dy,-0.09455287644943805,pixels,the reconciled path
trajectory,frame_065_dy,0.06498448644147105,pixels,the reconciled path
trajectory,frame_066_dy,0.5769941509523329,pixels,the reconciled path
trajectory,frame_067_dy,0.26641794248980083,pixels,the reconciled path
trajectory,frame_068_dy,0.8250826872229156,pixels,the reconciled path
trajectory,frame_069_dy,0.5698128288822354,pixels,the reconciled path
