element,key,value_number,value_text,note
recording,frames,240.0,count,
outlier,mads,8.0,median absolute deviations,the dashed threshold on the bottom trace
outlier,median_step,0.20178056616891243,pixels,
outlier,threshold,1.083246128101516,pixels,
outlier,flagged,0.0,frames,marked red on the bottom trace
repair,repaired_frames,0.0,frames,red in the status strip
repair,measured_fraction,1.0,fraction,the third token
residual,median_before,0.033529093096149154,log2,
residual,median_after,0.03073557889211585,log2,
residual,removed_fraction,0.08331612775873565,fraction,the ring token
gain,final_within_range,0.7896606431496375,fraction,the first token; where the trace ended between its own smallest and largest value
gain,frame_000,1.0,ratio,"cumulative, reported not applied"
gain,frame_001,0.9926580191496306,ratio,"cumulative, reported not applied"
gain,frame_002,0.9923199110569374,ratio,"cumulative, reported not applied"
gain,frame_003,0.991371884832302,ratio,"cumulative, reported not applied"
gain,frame_004,0.9958164200546221,ratio,"cumulative, reported not applied"
gain,frame_005,0.9898860945360571,ratio,"cumulative, reported not applied"
gain,frame_006,0.9881485079872887,ratio,"cumulative, reported not applied"
gain,frame_007,0.9885000211884706,ratio,"cumulative, reported not applied"
gain,frame_008,0.9909015340857165,ratio,"cumulative, reported not applied"
gain,frame_009,0.9941939171472385,ratio,"cumulative, reported not applied"
gain,frame_010,0.9884409719116146,ratio,"cumulative, reported not applied"
gain,frame_011,0.9907994988548547,ratio,"cumulative, reported not applied"
gain,frame_012,0.9892719137746561,ratio,"cumulative, reported not applied"
gain,frame_013,0.9885778735873041,ratio,"cumulative, reported not applied"
gain,frame_014,0.9948506619547041,ratio,"cumulative, reported not applied"
gain,frame_015,0.9899392536256125,ratio,"cumulative, reported not applied"
gain,frame_016,0.9888182306850046,ratio,"cumulative, reported not applied"
gain,frame_017,0.9896588815729955,ratio,"cumulative, reported not applied"
gain,frame_018,0.9908809308041716,ratio,"cumulative, reported not applied"
gain,frame_019,0.9926279809171761,ratio,"cumulative, reported not applied"
gain,frame_020,0.990140573917781,ratio,"cumulative, reported not applied"
gain,frame_021,0.9927594226848723,ratio,"cumulative, reported not applied"
