"source_series_id","independent_group","image_type","partition","source_path","source_sha256","source_frame_selection","repository_family","prior_use","notes"
"brightfield_microbundle_type3_01","microbundle_type3_01","BRIGHTFIELD_DIC","development","library/benchmark/v2/series/brightfield_microbundle_type3_01/source/Example_01.tif","68d273d99f65d04006b4ddfb0a7fc6fe62c5f954f409d18daec4e5cc6dca626f","plane=0","zenodo_microbundle:ZENODO_MICROBUNDLE","v3_development_spent_development","v2 pilot source development only"
"brightfield_microbundle_type3_02","microbundle_type3_02","BRIGHTFIELD_DIC","development","library/benchmark/v2/series/brightfield_microbundle_type3_02/source/Example_02.tif","8690c59e5cfe5485522deeadb9f6c47f04fd5637da76fc3c57dc237df1ec6ff8","plane=0","zenodo_microbundle:ZENODO_MICROBUNDLE","v3_development_spent_development","v2 pilot source development only"
"dic_bbbc028_circle_01","bbbc028_circle","BRIGHTFIELD_DIC","development","library/benchmark/v2/series/dic_bbbc028_circle_01/source/circle-01.png","fe160cfa46c751041e2b4d689ef246db2873d073f3ec96a468795aefa0f5a5b5","plane=0","bbbc028:BBBC028","v3_development_spent_development","v2 pilot source development only"
"dic_bbbc028_triangle_01","bbbc028_triangle","BRIGHTFIELD_DIC","development","library/benchmark/v2/series/dic_bbbc028_triangle_01/source/triangle-01.png","a9841cc77481ec75a14946e39e393f6cc34fa1c762a6a83bd7539efbd175fc83","plane=0","bbbc028:BBBC028","v3_development_spent_development","v2 pilot source development only"
"integration_bf_ctc_t001","ctc_hela_integration","BRIGHTFIELD_DIC","development","library/benchmark/v3/downloads/publication_test/19026908/19026908_dic_hela/DIC-C2DH_HeLa_dataset/01/t001.png","92a98052040e535f256991d795a53a34d5543ebd3dd9e86722ba42406a8b0bb1","plane=0","ctc_tui:Zenodo","v3_integration_spent_development","unreported adjacent frame reserved for repeated pipeline integration checks"
"dense_ssbd197_fig3","ssbd_197_bannai","DENSE_FLUORESCENCE","development","library/benchmark/v2/series/dense_ssbd197_fig3/source/701GOERGCaMP6fLckRCaMP2HeLax60x1His1uM.stk","71cfce827d52cb57e8d0566cf663b713cb02f58fdc3ef7baf0ef779a308ec237","plane=0","ssbd_197:SSBD_197","v3_development_spent_development","v2 pilot source development only"
"dense_ssbd197_fig4a_gcamp","ssbd_197_bannai","DENSE_FLUORESCENCE","development","library/benchmark/v2/series/dense_ssbd197_fig4a_gcamp/source/101hsGCaMP6F.stk","ef9371046e5dbd1e844492c58bc0aee0f61188df13872aaae15b766cbbf488a7","plane=0","ssbd_197:SSBD_197","v3_development_spent_development","v2 pilot source development only"
"dense_ssbd197_fig4a_rcamp","ssbd_197_bannai","DENSE_FLUORESCENCE","development","library/benchmark/v2/series/dense_ssbd197_fig4a_rcamp/source/101LckRCaMP2.stk","7bf6e48a93a9fc9a3709655ce22a4caaed6dccc232103367b416d65dd13bd8d7","plane=0","ssbd_197:SSBD_197","v3_development_spent_development","v2 pilot source development only"
"dense_ssbd197_fig4b_lck","ssbd_197_bannai","DENSE_FLUORESCENCE","development","library/benchmark/v2/series/dense_ssbd197_fig4b_lck/source/202CortexLCKRCaMP6f60x1at2Hz2min.stk","6a4197a8106455c1f12320b15b810ecd547268dd43e19c1817c18adfebc77bdc","plane=0","ssbd_197:SSBD_197","v3_development_spent_development","v2 pilot source development only"
"integration_dense_stardist_s15","stardist_s15_integration","DENSE_FLUORESCENCE","development","library/benchmark/v3/downloads/publication_test/4811213/4811213_stardist_training/Training dataset/Training_Source/nd014.nd2 - nd014.nd2 (series 15) series_15 - 1-10000.tif","6e9d28214964f421a9b921b2bc8a6db03148c4672c01e7ec864b9d479c98d3db","plane=0","mda_stardist:Zenodo","v3_integration_spent_development","unreported acquisition series reserved for repeated pipeline integration checks"
